Date,Wages,Industrial Production,Capacity Utilization,Retail Sales,CPI,PCE ex Food & Energy,PPI Fin Goods ex Food & Energy,House Price Index,WTI Crude,Real Pers Income,Personal Saving Rate,Fed Funds,US10Y,Recession
4/1/2019,Med,Lo,Lo,Med,Med,Med,Med,Med,Hi,Med,Lo,Med,Lo,0
7/1/2019,Med,Med,Lo,Med,Med,Med,Med,Med,Lo,Med,Lo,Lo,Lo,0
10/1/2019,Med,Lo,Lo,Med,Med,Med,Med,Med,Med,Med,Lo,Lo,Lo,0
1/1/2020,Med,Lo,Lo,Lo,Med,Med,Med,Med,Lo,Med,Med,Lo,Lo,1
4/1/2020,Hi,Lo,Lo,Lo,Lo,Lo,Med,Med,Lo,Lo,Hi,Lo,Lo,1
7/1/2020,Lo,Hi,Hi,Hi,Hi,Med,Med,Med,Hi,Hi,Lo,Med,Lo,0
10/1/2020,Med,Med,Med,Med,Med,Med,Med,Hi,Med,Med,Lo,Med,Med,0
1/1/2021,Med,Med,Med,Hi,Hi,Med,Med,Hi,Hi,Lo,Hi,Lo,Med,0
4/1/2021,Med,Med,Med,Hi,Hi,Hi,Hi,Hi,Hi,Med,Lo,Lo,Med,0
7/1/2021,Med,Med,Med,Lo,Hi,Hi,Hi,Hi,Hi,Med,Lo,Med,Lo,0
10/1/2021,Med,Med,Med,Med,Hi,Hi,Hi,Hi,Hi,Med,Lo,Lo,Med,0
1/1/2022,Med,Med,Med,Med,Hi,Hi,Hi,Hi,Hi,Lo,Lo,Med,Med,1
4/1/2022,Med,Med,Med,Med,Hi,Hi,Hi,Hi,Hi,Lo,Lo,Hi,Hi,1
7/1/2022,Med,Med,Med,Lo,Hi,Hi,Hi,Med,Lo,Med,Med,Hi,Med,0
10/1/2022,Med,Lo,Lo,Lo,Med,Hi,Hi,Lo,Lo,Lo,Med,Hi,Hi,0
1/1/2023,Med,Lo,Lo,Med,Med,Hi,Hi,Med,Lo,Med,Hi,Hi,Lo,0
4/1/2023,Med,Med,Lo,Lo,Med,Med,Med,Hi,Lo,Med,Med,Med,Lo,0
7/1/2023,Med,Med,Med,Med,Med,Med,Med,Med,Hi,Med,Lo,Med,Hi,0
10/1/2023,Med,Lo,Lo,Lo,Med,Med,Med,Med,Lo,Med,Lo,Med,Med,0
