Date,Hours,Wages,Labor Productivity,Labor Participation,Industrial Production,Capacity Utilization,Inventories,Retail Sales,LMV Sales,Durable Goods Orders,Comm & Ind loans,Consumer Credit,CPI,CPI Food,CPI Energy,PCE,PCE ex Food & Energy,PPI Finished Goods,PPI Fin Goods ex Food & Energy,PPI Processed Goods,PPI Unprocessed Goods,House Price Index,WTI Crude,M1,M2,VIX Index,IG Index,HY Index,Fed Funds,US10Y,AAA Yield,BBB Yield,Mortgage Rate,Real GDP,Real PCE,Real Private Investment,Real Pot GDP,Real Pers Income,Personal Saving Rate
1998-07-01,41.40,13.06,68.15,67.10,85.47,82.25,1067072.00,145346.00,14.83,176971.00,904.57,1388.23,163.37,160.90,102.23,71.06,72.76,130.50,143.87,122.67,94.13,212.75,14.22,1077.00,4233.40,29.75,248.38,255.21,5.55,5.24,6.50,7.13,6.87,12982.75,8340.83,2118.99,12792.11,9380.90,6.40
1998-10-01,41.40,13.17,68.67,67.20,86.66,82.17,1075998.00,148937.00,16.42,179784.00,937.57,1411.61,164.13,162.20,100.90,71.25,72.99,131.00,144.77,121.83,92.57,215.26,12.93,1092.00,4343.10,29.54,254.62,257.77,4.87,4.66,6.34,7.24,6.76,13191.67,8461.33,2183.38,12929.70,9469.90,5.80
1999-01-01,41.30,13.30,69.62,67.10,87.62,82.01,1083284.00,151164.00,16.33,185587.00,939.47,1441.14,164.73,163.20,99.77,71.39,73.17,131.47,145.67,121.03,89.87,217.52,13.17,1097.10,4420.00,27.25,256.14,261.03,4.73,4.96,6.40,7.39,6.88,13315.60,8548.24,2243.55,13070.85,9556.90,5.90
1999-04-01,41.30,13.42,69.87,67.10,88.46,81.81,1095868.00,153175.00,16.77,183849.00,946.51,1468.38,165.97,163.67,104.97,71.80,73.43,132.27,145.73,122.23,95.03,220.43,17.65,1101.70,4484.40,24.40,253.40,260.64,4.75,5.51,6.91,7.72,7.18,13426.75,8679.14,2244.68,13214.56,9582.20,4.50
1999-07-01,41.50,13.55,70.51,67.00,89.26,81.65,1107401.00,155302.00,17.14,189136.00,967.51,1502.22,167.20,164.23,109.33,72.19,73.70,133.57,146.00,124.03,102.03,223.55,21.72,1098.30,4551.30,23.32,250.86,257.64,5.09,5.88,7.32,8.09,7.79,13604.77,8776.72,2306.47,13360.46,9665.80,4.10
1999-10-01,41.40,13.67,71.55,67.10,90.85,82.22,1127121.00,157655.00,17.34,192496.00,993.18,1524.57,168.43,165.27,112.43,72.63,74.04,134.83,146.93,125.37,105.97,225.85,24.60,1112.10,4613.30,22.66,252.73,258.82,5.32,6.13,7.48,8.24,7.84,13827.98,8905.09,2367.99,13508.53,9820.10,3.90
2000-01-01,41.50,13.80,71.26,67.30,91.75,82.18,1145708.00,159756.00,18.27,192467.00,1015.58,1549.72,170.10,166.10,119.37,73.22,74.43,136.37,147.17,127.43,110.33,230.17,28.90,1112.70,4685.30,23.15,252.84,260.24,5.64,6.47,7.71,8.33,8.26,13878.15,9039.74,2351.22,13657.54,10041.60,4.10
2000-04-01,41.40,13.94,72.69,67.20,92.88,82.35,1165263.00,158635.00,17.33,201132.00,1050.04,1587.86,171.43,167.13,122.57,73.57,74.69,137.33,147.67,128.60,117.07,233.92,28.92,1107.70,4763.90,24.92,255.33,259.00,6.26,6.18,7.77,8.61,8.32,14130.91,9124.15,2490.50,13802.28,10149.20,4.30
2000-07-01,41.20,14.07,72.63,66.90,92.80,81.47,1180702.00,158590.00,17.40,192647.00,1071.00,1650.12,173.00,168.63,126.77,74.04,75.05,138.37,148.30,129.73,121.77,238.19,31.63,1101.10,4820.00,19.17,263.74,268.43,6.52,5.89,7.60,8.31,8.02,14145.31,9211.57,2466.38,13940.47,10283.70,4.50
2000-10-01,40.80,14.23,73.38,66.90,92.55,80.44,1194284.00,158552.00,16.40,188070.00,1081.21,1700.84,174.23,169.40,129.63,74.46,75.42,140.07,148.70,130.90,133.47,241.83,32.06,1093.20,4891.50,26.02,272.60,273.46,6.51,5.57,7.41,8.21,7.62,14229.77,9292.05,2471.53,14071.30,10347.70,4.20
2001-01-01,40.60,14.36,72.98,67.20,91.41,78.68,1191871.00,158056.00,17.18,179847.00,1093.55,1746.37,175.90,171.07,133.60,75.01,75.91,141.60,149.40,131.63,146.57,247.82,28.76,1102.30,5020.60,25.73,287.71,287.23,5.61,5.05,7.08,7.89,7.01,14183.12,9325.75,2358.97,14194.96,10424.80,4.70
2001-04-01,40.40,14.50,74.24,66.80,90.25,76.96,1179906.00,158584.00,16.71,175316.00,1081.81,1782.21,177.13,172.53,135.87,75.36,76.20,142.03,150.03,130.97,127.80,251.97,27.92,1120.50,5147.50,23.92,292.78,292.55,4.37,5.28,7.22,8.04,7.13,14271.69,9344.49,2362.65,14311.60,10383.20,4.40
2001-07-01,40.40,14.59,74.66,66.70,89.01,75.30,1161962.00,157068.00,16.07,168245.00,1059.66,1805.99,177.63,173.93,129.27,75.40,76.40,140.70,150.57,129.27,110.93,255.88,26.70,1164.90,5263.00,25.38,301.82,302.49,3.55,4.99,7.10,7.94,6.96,14214.52,9377.00,2311.41,14421.41,10351.30,6.30
2001-10-01,40.10,14.70,75.59,66.70,88.03,73.98,1127980.00,162507.00,18.53,166882.00,1033.43,1851.85,177.50,174.80,117.90,75.43,76.76,138.50,150.13,126.90,98.53,259.05,20.50,1173.30,5383.90,27.91,310.44,307.85,2.19,4.76,6.93,7.92,6.77,14253.57,9528.30,2196.55,14525.43,10277.60,3.30
2002-01-01,40.30,14.79,77.18,66.60,88.69,74.15,1112480.00,159645.00,16.67,167861.00,1013.66,1881.34,178.07,175.70,115.10,75.58,77.00,138.17,150.03,125.87,100.67,262.77,21.64,1191.50,5477.60,21.36,312.82,308.39,1.72,5.08,6.62,7.95,6.97,14372.79,9549.52,2262.07,14624.27,10283.80,5.50
2002-04-01,40.60,14.88,77.30,66.70,90.05,75.07,1110068.00,159948.00,16.60,169925.00,991.81,1915.25,179.47,176.03,121.67,76.15,77.42,138.63,150.33,127.20,107.40,267.24,26.27,1189.80,5521.10,21.64,317.44,307.56,1.75,5.11,6.72,8.03,6.81,14460.85,9597.82,2298.94,14719.75,10309.20,5.90
2002-07-01,40.50,15.01,77.90,66.60,90.61,75.45,1122998.00,160992.00,17.42,172749.00,971.78,1945.79,180.43,176.23,123.07,76.54,77.84,138.83,150.07,128.20,108.53,272.55,28.32,1194.10,5625.60,35.07,331.15,308.55,1.74,4.29,6.36,7.64,6.29,14519.63,9664.99,2295.98,14813.45,10301.80,5.40
2002-10-01,40.40,15.15,77.78,66.40,90.56,75.44,1134178.00,160698.00,16.57,167706.00,960.35,1964.81,181.50,176.80,126.90,76.90,78.11,139.90,150.10,129.90,116.03,276.42,28.30,1211.30,5741.00,30.73,340.68,316.53,1.48,4.01,6.28,7.61,6.08,14537.58,9718.75,2293.75,14905.92,10342.40,5.50
2003-01-01,40.30,15.26,78.55,66.40,91.13,75.99,1145591.00,160471.00,16.14,172117.00,943.22,1992.39,183.37,177.87,139.40,77.48,78.35,142.60,150.13,133.83,138.17,279.78,34.04,1234.90,5835.60,30.02,351.20,333.85,1.24,3.92,6.02,7.13,5.84,14614.14,9766.62,2312.47,14998.24,10302.70,5.10
2003-04-01,40.20,15.32,79.58,66.40,90.45,75.50,1145893.00,162352.00,16.42,171465.00,925.56,2024.96,183.07,179.00,131.90,77.56,78.65,142.27,150.03,132.87,131.20,283.20,28.98,1266.60,5951.40,21.53,362.55,354.65,1.25,3.63,5.32,6.48,5.51,14743.57,9878.44,2327.49,15091.22,10402.80,5.10
2003-07-01,40.30,15.41,81.35,66.10,91.05,76.05,1136543.00,165640.00,17.22,175018.00,910.33,2048.76,184.43,180.40,137.63,78.07,79.01,143.50,150.40,133.67,132.37,287.57,30.22,1293.70,6072.10,19.32,357.95,353.02,1.02,4.22,5.69,6.80,6.03,14988.78,10018.12,2411.64,15184.29,10473.80,5.50
2003-10-01,40.70,15.45,82.11,66.00,91.93,76.82,1145336.00,165780.00,16.78,182301.00,884.07,2069.75,185.13,182.57,137.83,78.46,79.37,144.83,151.03,134.47,139.50,295.71,31.17,1301.00,6066.70,17.43,361.66,361.89,1.00,4.28,5.65,6.66,5.92,15162.76,10087.09,2493.93,15278.80,10593.50,5.00
2004-01-01,41.00,15.53,81.87,66.00,92.58,77.39,1158404.00,167389.00,16.59,183742.00,873.50,2097.77,186.70,183.83,144.93,79.06,79.80,145.97,151.50,137.60,150.90,300.36,35.34,1318.70,6113.30,16.66,370.52,375.60,1.00,4.03,5.46,6.29,5.60,15248.68,10181.14,2498.14,15375.24,10592.40,4.60
2004-04-01,40.90,15.63,82.72,66.00,93.12,77.87,1184876.00,167837.00,16.67,184489.00,865.56,2120.51,188.17,185.70,147.50,79.59,80.26,148.00,152.33,141.33,159.43,307.69,38.32,1336.30,6243.30,16.21,363.40,366.80,1.01,4.56,5.90,6.64,6.11,15366.85,10236.69,2597.51,15473.37,10703.50,5.00
2004-07-01,40.80,15.73,83.11,66.00,93.64,78.32,1213812.00,169351.00,17.01,186336.00,882.62,2146.89,189.37,186.90,151.83,79.99,80.55,148.53,152.87,144.03,159.00,319.40,43.89,1352.50,6313.40,15.45,371.24,377.03,1.42,4.34,5.68,6.48,5.89,15512.62,10356.94,2638.67,15573.87,10813.30,4.50
2004-10-01,40.60,15.84,83.47,65.90,94.97,79.37,1235195.00,171795.00,17.20,190437.00,897.73,2184.24,191.40,188.20,161.57,80.67,80.98,151.57,154.10,147.40,166.97,326.24,48.30,1370.80,6397.10,13.65,377.52,387.23,1.95,4.17,5.48,6.19,5.74,15670.88,10474.08,2693.58,15675.86,10956.10,4.50
2005-01-01,40.60,15.93,84.38,65.90,96.29,80.31,1260972.00,172464.00,16.57,192653.00,933.10,2209.51,192.37,188.80,160.83,81.14,81.56,152.77,155.43,149.57,165.87,333.72,49.90,1369.70,6433.10,12.79,378.96,391.28,2.46,4.29,5.32,5.96,5.77,15844.73,10540.64,2769.26,15776.04,10852.20,2.50
2005-04-01,40.40,16.04,84.29,66.10,96.84,80.51,1275703.00,174716.00,17.39,203830.00,967.48,2237.68,193.67,190.50,164.57,81.65,81.96,154.00,156.20,151.00,169.87,344.41,53.11,1368.20,6478.30,13.41,383.46,390.11,2.94,4.19,5.17,5.99,5.71,15922.78,10657.45,2733.23,15873.33,10956.70,2.20
2005-07-01,40.50,16.17,84.88,66.10,96.42,79.85,1275911.00,175302.00,17.98,201104.00,995.45,2265.30,196.60,191.17,188.17,82.53,82.28,156.70,156.93,154.23,185.40,354.89,63.31,1375.10,6570.60,12.25,386.31,395.12,3.45,4.20,5.08,5.97,5.76,16047.59,10745.87,2769.11,15968.89,11018.90,1.80
