Date,Hours,Wages,Labor Productivity,Labor Participation,Industrial Production,Capacity Utilization,Inventories,Retail Sales,LMV Sales,Durable Goods Orders,Comm & Ind loans,Consumer Credit,CPI,CPI Food,CPI Energy,PCE,PCE ex Food & Energy,PPI Finished Goods,PPI Fin Goods ex Food & Energy,PPI Processed Goods,PPI Unprocessed Goods,House Price Index,WTI Crude,M1,M2,Real GDP,Real PCE,Real Private Investment,Real Pot GDP,Real Pers Income,Personal Saving Rate,VIX Index,IG Index,HY Index,Fed Funds,US10Y,AAA Yield,BBB Yield,Mortgage Rate,US10-FedFunds,"US10-FedFunds [abs, prior]"
10/01/99,-0.00240964,0.00885609,0.01474968,0.00149254,0.01781313,0.00698102,0.01780746,0.01515112,0.01166861,0.01776499,0.02653203,0.01487798,0.00735646,0.00633258,0.02835452,0.00609503,0.00461330,0.00943326,0.00636986,0.01080384,0.03861609,0.01028853,0.13259669,0.01256487,0.01362248,0.01640675,0.01462619,0.02667279,0.01108270,0.01596350,-0.04878049,-0.66000000,0.00745436,0.00458003,0.23000000,0.25000000,0.16000000,0.15000000,0.05000000,0.02000000,0.79000000
01/01/00,0.00241546,0.00950988,-0.00405311,0.00298063,0.00990644,-0.00048650,0.01649069,0.01332657,0.05363322,-0.00015065,0.02255382,0.01649645,0.00991510,0.00502209,0.06172730,0.00812337,0.00526742,0.01142179,0.00163343,0.01643136,0.04114372,0.01912774,0.17479675,0.00053952,0.01560705,0.00362815,0.01512057,-0.00708196,0.01103081,0.02255578,0.05128205,0.49000000,0.00043525,0.00548644,0.32000000,0.34000000,0.23000000,0.09000000,0.42000000,0.02000000,0.81000000
04/01/00,-0.00240964,0.01014493,0.02006736,-0.00148588,0.01231608,0.00206863,0.01706805,-0.00701695,-0.05145047,0.04502070,0.03393135,0.02461090,0.00781893,0.00620108,0.02680741,0.00478011,0.00349322,0.00703967,0.00339743,0.00918151,0.06108946,0.01629231,0.00069204,-0.00449357,0.01677587,0.01821280,0.00933766,0.05923733,0.01059781,0.01071542,0.04878049,1.77000000,0.00984813,-0.00476483,0.62000000,-0.29000000,0.06000000,0.28000000,0.06000000,-0.91000000,0.83000000
07/01/00,-0.00483092,0.00932568,-0.00082542,-0.00446429,-0.00086133,-0.01068610,0.01324937,-0.00028367,0.00403924,-0.04218623,0.01996114,0.03921001,0.00915826,0.00897505,0.03426613,0.00638847,0.00481992,0.00757300,0.00426627,0.00878694,0.04014692,0.01825410,0.09370678,-0.00595829,0.01177607,0.00101904,0.00958117,-0.00968480,0.01001211,0.01325228,0.04651163,-5.75000000,0.03293777,0.03640927,0.26000000,-0.29000000,-0.17000000,-0.30000000,-0.30000000,-0.55000000,-0.08000000
10/01/00,-0.00970874,0.01137171,0.01032631,0.00000000,-0.00269397,-0.01264269,0.01150333,-0.00023961,-0.05747126,-0.02375848,0.00953315,0.03073716,0.00710983,0.00456621,0.02256054,0.00567261,0.00493005,0.01228590,0.00269724,0.00901873,0.09608278,0.01528192,0.01359469,-0.00717464,0.01483402,0.00597088,0.00873684,0.00208808,0.00938491,0.00622344,-0.06666667,6.85000000,0.03359369,0.01873859,-0.01000000,-0.32000000,-0.19000000,-0.10000000,-0.40000000,-0.31000000,-0.63000000
01/01/01,-0.00490196,0.00913563,-0.00545108,0.00448430,-0.01231767,-0.02187966,-0.00202046,-0.00312831,0.04756098,-0.04372308,0.01141314,0.02676913,0.00958503,0.00985832,0.03062563,0.00738652,0.00649695,0.01092311,0.00470746,0.00557678,0.09814940,0.02476947,-0.10293200,0.00832419,0.02639272,-0.00327834,0.00362676,-0.04554264,0.00878810,0.00745093,0.11904762,-0.29000000,0.05542920,0.05035471,-0.90000000,-0.52000000,-0.33000000,-0.32000000,-0.61000000,0.38000000,-0.94000000
04/01/01,-0.00492611,0.00974930,0.01726500,-0.00595238,-0.01269008,-0.02186070,-0.01003884,0.00334059,-0.02735739,-0.02519364,-0.01073568,0.02052257,0.00699261,0.00853452,0.01699102,0.00466604,0.00382031,0.00303672,0.00421687,-0.00501405,-0.12806168,0.01674603,-0.02920723,0.01651093,0.02527586,0.00624475,0.00200949,0.00156000,0.00821700,-0.00399048,-0.06382979,-1.81000000,0.01762191,0.01852174,-1.24000000,0.23000000,0.14000000,0.15000000,0.12000000,1.47000000,-0.56000000
07/01/01,0.00000000,0.00620690,0.00565733,-0.00149701,-0.01373961,-0.02156965,-0.01520799,-0.00955960,-0.03830042,-0.04033288,-0.02047494,0.01334298,0.00282279,0.00811453,-0.04857584,0.00053079,0.00262467,-0.00936422,0.00359928,-0.01298007,-0.13200313,0.01551772,-0.04369628,0.03962517,0.02243808,-0.00400583,0.00347906,-0.02168751,0.00767280,-0.00307227,0.43181818,1.46000000,0.03087643,0.03397710,-0.82000000,-0.29000000,-0.12000000,-0.10000000,-0.17000000,0.53000000,0.91000000
10/01/01,-0.00742574,0.00753941,0.01245647,0.00000000,-0.01101000,-0.01752988,-0.02924536,0.03462831,0.15308027,-0.00810128,-0.02475322,0.02539327,-0.00073186,0.00500201,-0.08795544,0.00039788,0.00471204,-0.01563611,-0.00292223,-0.01833372,-0.11178220,0.01238862,-0.23220974,0.00721092,0.02297169,0.00274719,0.01613522,-0.04969261,0.00721289,-0.00711988,-0.47619048,2.53000000,0.02856007,0.01771959,-1.36000000,-0.23000000,-0.17000000,-0.02000000,-0.19000000,1.13000000,1.44000000
01/01/02,0.00498753,0.00612245,0.02103453,-0.00149925,0.00749744,0.00229792,-0.01374138,-0.01761155,-0.10037777,0.00586642,-0.01913047,0.01592462,0.00321127,0.00514874,-0.02374894,0.00198860,0.00312663,-0.00238267,-0.00066609,-0.00811663,0.02171927,0.01436016,0.05560976,0.01551180,0.01740374,0.00836422,0.00222705,0.02982859,0.00680462,0.00060325,0.66666667,-6.55000000,0.00766654,0.00175410,-0.47000000,0.32000000,-0.31000000,0.03000000,0.20000000,0.79000000,2.57000000
04/01/02,0.00744417,0.00608519,0.00155481,0.00150150,0.01533431,0.01240728,-0.00216813,0.00189796,-0.00419916,0.01229589,-0.02155555,0.01802439,0.00786208,0.00187820,0.05708080,0.00754168,0.00545455,0.00332923,0.00199960,0.01056646,0.06685209,0.01701107,0.21395564,-0.00142677,0.00794143,0.00612685,0.00505785,0.01629923,0.00652887,0.00246990,0.07272727,0.28000000,0.01476888,-0.00269140,0.03000000,0.03000000,0.10000000,0.08000000,-0.16000000,0.00000000,3.36000000
07/01/02,-0.00246305,0.00873656,0.00776197,-0.00149925,0.00621877,0.00506194,0.01164794,0.00652712,0.04939759,0.01661910,-0.02019540,0.01594570,0.00534908,0.00113617,0.01150653,0.00512147,0.00542495,0.00144269,-0.00172953,0.00786164,0.01052142,0.01986978,0.07803578,0.00361405,0.01892739,0.00406477,0.00699846,-0.00128755,0.00636560,-0.00071781,-0.08474576,13.43000000,0.04318926,0.00321888,-0.01000000,-0.82000000,-0.36000000,-0.39000000,-0.52000000,-0.81000000,3.36000000
10/01/02,-0.00246914,0.00932712,-0.00154044,-0.00300300,-0.00055182,-0.00013254,0.00995549,-0.00182618,-0.04879449,-0.02919264,-0.01176192,0.00977495,0.00593028,0.00323441,0.03112050,0.00470342,0.00346865,0.00770727,0.00019991,0.01326053,0.06910532,0.01419923,-0.00070621,0.01440415,0.02051337,0.00123626,0.00556234,-0.00097126,0.00624230,0.00394106,0.01851852,-4.34000000,0.02877850,0.02586291,-0.26000000,-0.28000000,-0.08000000,-0.03000000,-0.21000000,-0.02000000,2.55000000
01/01/03,-0.00247525,0.00726073,0.00989972,0.00000000,0.00629417,0.00729056,0.01006279,-0.00141259,-0.02595051,0.02630198,-0.01783725,0.01403698,0.01030303,0.00605204,0.09850276,0.00754226,0.00307259,0.01929950,0.00019987,0.03025404,0.19081272,0.01215542,0.20282686,0.01948320,0.01647797,0.00526635,0.00492553,0.00816131,0.00619351,-0.00383857,-0.07272727,-0.71000000,0.03087942,0.05471835,-0.24000000,-0.09000000,-0.26000000,-0.48000000,-0.24000000,0.15000000,2.53000000
04/01/03,-0.00248139,0.00393185,0.01311267,0.00000000,-0.00746187,-0.00644822,0.00026362,0.01172174,0.01734820,-0.00378812,-0.01872310,0.01634720,-0.00163604,0.00635295,-0.05380201,0.00103252,0.00382897,-0.00231417,-0.00066609,-0.00717328,-0.05044510,0.01222389,-0.14864865,0.02567009,0.01984372,0.00885649,0.01144920,0.00649522,0.00619939,0.00971590,0.00000000,-8.49000000,0.03231777,0.06230343,0.01000000,-0.29000000,-0.70000000,-0.65000000,-0.33000000,-0.30000000,2.68000000
07/01/03,0.00248756,0.00587467,0.02224177,-0.00451807,0.00663350,0.00728477,-0.00815958,0.02025229,0.04872107,0.02072143,-0.01645490,0.01175332,0.00742885,0.00782123,0.04344200,0.00657555,0.00457724,0.00864553,0.00246617,0.00602092,0.00891768,0.01543079,0.04278813,0.02139586,0.02028094,0.01663166,0.01413988,0.03615483,0.00616716,0.00682509,0.07843137,-2.21000000,-0.01268791,-0.00459608,-0.23000000,0.59000000,0.37000000,0.32000000,0.52000000,0.82000000,2.38000000
10/01/03,0.00992556,0.00259572,0.00934235,-0.00151286,0.00966502,0.01012492,0.00773662,0.00084521,-0.02555168,0.04161286,-0.02884668,0.01024522,0.00379548,0.01202882,0.00145317,0.00499552,0.00455639,0.00926829,0.00418883,0.00598489,0.05386417,0.02830615,0.03143614,0.00564273,-0.00088931,0.01160735,0.00688453,0.03412201,0.00622420,0.01142852,-0.09090909,-1.89000000,0.01036458,0.02512606,-0.02000000,0.06000000,-0.04000000,-0.14000000,-0.11000000,0.08000000,3.20000000
01/01/04,0.00737101,0.00517799,-0.00292291,0.00000000,0.00707060,0.00741994,0.01140975,0.00970563,-0.01132300,0.00790451,-0.01195607,0.01353787,0.00848053,0.00690146,0.05151273,0.00764721,0.00541766,0.00787130,0.00311196,0.02327657,0.08172043,0.01572487,0.13378248,0.01360492,0.00768128,0.00566651,0.00932380,0.00168810,0.00631201,-0.00010384,-0.08000000,-0.77000000,0.02449815,0.03788444,0.00000000,-0.25000000,-0.19000000,-0.37000000,-0.32000000,-0.25000000,3.28000000
04/01/04,-0.00243902,0.00643915,0.01038231,0.00000000,0.00583279,0.00620235,0.02285213,0.00267640,0.00482218,0.00406548,-0.00908987,0.01084008,0.00787359,0.01017244,0.01773270,0.00670377,0.00576441,0.01390697,0.00547855,0.02710756,0.05652750,0.02440405,0.08432371,0.01334648,0.02126511,0.00774952,0.00545617,0.03977759,0.00638234,0.01048865,0.08695652,-0.45000000,-0.01921624,-0.02342918,0.01000000,0.53000000,0.44000000,0.35000000,0.51000000,0.52000000,3.03000000
